name,link_id,link_key,speed_sensor_id,count_sensor_id,from_node_id_old,from_node_id,to_node_id_old,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit,lane_capacity_in_vhc_per_hour,link_type,jam_density,wave_speed,mode_code,grade,geometry,original_geometry,BPR_alpha_term,BPR_beta_term,number_of_left_turn_lanes,length_of_left_turn_lanes,number_of_right_turn_lanes,length_of_right_turn_lanes,from_approach,to_approach,reversed_link_id
,4139,4139_AB,,,80,80,8167,237,Suburban_Centroid Connector,1,0.24,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.724814,33.382697,0.0 -111.720755,33.382488,0.0</coordinates></LineString>","<LineString><coordinates>-111.724814,33.382703,0.0 -111.720755,33.382494,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4139
,4139,4139_BA,,,8167,237,80,80,Suburban_Centroid Connector,1,0.24,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.720755,33.382500,0.0 -111.724814,33.382709,0.0</coordinates></LineString>","<LineString><coordinates>-111.720755,33.382494,0.0 -111.724814,33.382703,0.0</coordinates></LineString>",0.15,4,0,0,0,0,0,0,4139
,11684,11684_AB,,,7980,231,30449,1110,MixedUrban_Freeway,1,0.61,5,71,2014,31,220,12,,0,"<LineString><coordinates>-111.724769,33.386466,0.0 -111.714220,33.386504,0.0</coordinates></LineString>","<LineString><coordinates>-111.724769,33.386466,0.0 -111.714220,33.386504,0.0</coordinates></LineString>",0.15,4,0,0,0,0,0,N,0
,11685,11685_AB,,,7980,231,8010,232,Suburban_Unmetered Ramp,1,0.3,1,44,1378,47,190,12,,0,"<LineString><coordinates>-111.724769,33.386466,0.0 -111.719637,33.385947,0.0</coordinates></LineString>","<LineString><coordinates>-111.724769,33.386466,0.0 -111.719637,33.385947,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,0,0
,4140,4140_AB,,,80,80,8201,243,Suburban_Centroid Connector,1,0.26,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.724819,33.382706,0.0 -111.726739,33.379255,0.0</coordinates></LineString>","<LineString><coordinates>-111.724814,33.382703,0.0 -111.726734,33.379252,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4140
,4140,4140_BA,,,8201,243,80,80,Suburban_Centroid Connector,1,0.26,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.726729,33.379249,0.0 -111.724809,33.382700,0.0</coordinates></LineString>","<LineString><coordinates>-111.726734,33.379252,0.0 -111.724814,33.382703,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4140
,11690,11690_AB,,,30450,1111,12383,946,MixedUrban_Freeway,1,0.27,5,71,2014,31,220,12,,0,"<LineString><coordinates>-111.731892,33.386405,0.0 -111.727266,33.386445,0.0</coordinates></LineString>","<LineString><coordinates>-111.731892,33.386405,0.0 -111.727266,33.386445,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,4141,4141_AB,,,80,80,30451,1112,Suburban_Centroid Connector,1,0.33,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.724814,33.382709,0.0 -111.730494,33.382864,0.0</coordinates></LineString>","<LineString><coordinates>-111.724814,33.382703,0.0 -111.730494,33.382858,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4141
,4141,4141_BA,,,30451,1112,80,80,Suburban_Centroid Connector,1,0.33,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.730494,33.382852,0.0 -111.724814,33.382697,0.0</coordinates></LineString>","<LineString><coordinates>-111.730494,33.382858,0.0 -111.724814,33.382703,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4141
,16238,16238_AB,,,12383,946,7980,231,Suburban_Freeway,1,0.14,5,71,2062,41,220,12,,0,"<LineString><coordinates>-111.727266,33.386445,0.0 -111.724769,33.386466,0.0</coordinates></LineString>","<LineString><coordinates>-111.727266,33.386445,0.0 -111.724769,33.386466,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,11886,11886_AB,,,8167,237,8200,242,Suburban_Major Arterial,1,0.24,3,41,889,46,190,12,,0,"<LineString><coordinates>-111.720760,33.382497,0.0 -111.722415,33.379275,0.0</coordinates></LineString>","<LineString><coordinates>-111.720755,33.382494,0.0 -111.722410,33.379272,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11886
,11886,11886_BA,,,8200,242,8167,237,Suburban_Major Arterial,1,0.24,3,41,889,46,190,12,,0,"<LineString><coordinates>-111.722405,33.379269,0.0 -111.720750,33.382491,0.0</coordinates></LineString>","<LineString><coordinates>-111.722410,33.379272,0.0 -111.720755,33.382494,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11886
,11594,11594_AB,,,7916,227,8035,233,MixedUrban_Major Arterial,1,0.08,3,41,857,36,190,12,,0,"<LineString><coordinates>-111.719277,33.387099,0.0 -111.719423,33.385980,0.0</coordinates></LineString>","<LineString><coordinates>-111.719271,33.387098,0.0 -111.719417,33.385979,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11594
,11594,11594_BA,,,8035,233,7916,227,MixedUrban_Major Arterial,1,0.08,3,41,857,36,190,12,,0,"<LineString><coordinates>-111.719411,33.385978,0.0 -111.719265,33.387097,0.0</coordinates></LineString>","<LineString><coordinates>-111.719417,33.385979,0.0 -111.719271,33.387098,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11594
,11756,11756_AB,,,8035,233,30452,1113,MixedUrban_Unmetered Ramp,1,0.3,1,44,1272,37,190,12,,0,"<LineString><coordinates>-111.719417,33.385979,0.0 -111.714331,33.386485,0.0</coordinates></LineString>","<LineString><coordinates>-111.719417,33.385979,0.0 -111.714331,33.386485,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,11757,11757_AB,,,8035,233,8167,237,Suburban_Major Arterial,1,0.25,3,41,889,46,190,12,,0,"<LineString><coordinates>-111.719423,33.385981,0.0 -111.720761,33.382496,0.0</coordinates></LineString>","<LineString><coordinates>-111.719417,33.385979,0.0 -111.720755,33.382494,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11757
,11757,11757_BA,,,8167,237,8035,233,Suburban_Major Arterial,1,0.25,3,41,889,46,190,12,,0,"<LineString><coordinates>-111.720749,33.382492,0.0 -111.719411,33.385977,0.0</coordinates></LineString>","<LineString><coordinates>-111.720755,33.382494,0.0 -111.719417,33.385979,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,11757
,18305,18305_AB,,,30267,1073,8035,233,Suburban_Unmetered Ramp,1,0.01,2,44,1378,47,190,12,,0,"<LineString><coordinates>-111.719525,33.385963,0.0 -111.719417,33.385979,0.0</coordinates></LineString>","<LineString><coordinates>-111.719525,33.385963,0.0 -111.719417,33.385979,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,11724,11724_AB,,,8010,232,30267,1073,Suburban_Metered Ramp,1,0.01,1,30,1225,48,190,12,,0,"<LineString><coordinates>-111.719637,33.385947,0.0 -111.719525,33.385963,0.0</coordinates></LineString>","<LineString><coordinates>-111.719637,33.385947,0.0 -111.719525,33.385963,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,4166,4166_AB,,,87,87,8195,239,Suburban_Centroid Connector,1,0.5,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.695707,33.372119,0.0 -111.696573,33.379343,0.0</coordinates></LineString>","<LineString><coordinates>-111.695713,33.372118,0.0 -111.696579,33.379342,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4166
,4166,4166_BA,,,8195,239,87,87,Suburban_Centroid Connector,1,0.5,1,25,99999,45,190,12,,0,"<LineString><coordinates>-111.696585,33.379341,0.0 -111.695719,33.372117,0.0</coordinates></LineString>","<LineString><coordinates>-111.696579,33.379342,0.0 -111.695713,33.372118,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,4166
