id,name,node_id_old,node_id,QEM_reference_node_id,control_type,control_type_name,x,y,geometry
597,,1,1,0,1,no_control,-111.966919,33.298074,"<Point><coordinates>-111.966919,33.298074</coordinates></Point>"
383,,2,2,0,1,no_control,-111.953428,33.312833,"<Point><coordinates>-111.953428,33.312833</coordinates></Point>"
575,,3,3,0,1,no_control,-111.953709,33.298005,"<Point><coordinates>-111.953709,33.298005</coordinates></Point>"
390,,4,4,0,1,no_control,-111.936674,33.312751,"<Point><coordinates>-111.936674,33.312751</coordinates></Point>"
567,,5,5,0,1,no_control,-111.936419,33.297912,"<Point><coordinates>-111.936419,33.297912</coordinates></Point>"
377,,6,6,0,1,no_control,-111.919004,33.312896,"<Point><coordinates>-111.919004,33.312896</coordinates></Point>"
556,,7,7,0,1,no_control,-111.919265,33.298062,"<Point><coordinates>-111.919265,33.298062</coordinates></Point>"
350,,8,8,0,1,no_control,-111.902011,33.312824,"<Point><coordinates>-111.902011,33.312824</coordinates></Point>"
542,,9,9,0,1,no_control,-111.901284,33.2984,"<Point><coordinates>-111.901284,33.298400</coordinates></Point>"
180,,10,10,0,1,no_control,-111.884702,33.345777,"<Point><coordinates>-111.884702,33.345777</coordinates></Point>"
299,,11,11,0,1,no_control,-111.884405,33.327654,"<Point><coordinates>-111.884405,33.327654</coordinates></Point>"
135,,12,12,0,1,no_control,-111.867111,33.34598,"<Point><coordinates>-111.867111,33.345980</coordinates></Point>"
272,,13,13,0,1,no_control,-111.867075,33.327774,"<Point><coordinates>-111.867075,33.327774</coordinates></Point>"
141,,14,14,0,1,no_control,-111.849778,33.345983,"<Point><coordinates>-111.849778,33.345983</coordinates></Point>"
301,,15,15,0,1,no_control,-111.849684,33.327805,"<Point><coordinates>-111.849684,33.327805</coordinates></Point>"
128,,16,16,0,1,no_control,-111.83605,33.353448,"<Point><coordinates>-111.836050,33.353448</coordinates></Point>"
267,,17,17,0,1,no_control,-111.83187,33.327931,"<Point><coordinates>-111.831870,33.327931</coordinates></Point>"
